- GL 2020-10-30
L:azumaril,toxicroak,beedrill
L:froslas, beedrill, scizor
W:driftblim, mandibuzz, beedrill
L:driftblim, umbreon, beedrill
W:crustle, al_marowak, azumaril
W:azumaril, toxicroak, clefable
L:al_marowak, azumaril, ?
L:driftblim, beedrill, azumaril
L:umbreon, obstagoon, scizor
W:crustle, victreebell, umbreon
L:scizor, wigglytuff, ?
L:victreebell, al_marowak, ?
D:crustle, victreebell, al_ninetales
W:sharpedo, victreebell, granbull
W:granbull, cleffable, wigglytuff
W:wigglytuff, al_marowak, umbreon
W:galvulenta, al_marowak, beedrill
L:toxicroak, azumaril, crustle
W:granbull, venusaur, obstagoon
W:froslass, beedrill, obstagoon
- GL 2020-11-01
L: galvulenta, al_marowak, clefable
W: al_marowak, al_muk, al_ninetales 
L: azumaril, al_marowak, beedrill
L: driftblim, haunter, dusclops 
W: azumaril, galventula, toxicroak 
W: toxicroak, azumaril, galventula
W: crustle, al_marowak, cleffable
L: wigglytuff, scolipede, umbreon
L: swalot, clefable, toxicroak
W: al_muk, galvuntal, crustle
- GL 2020-11-02
W: azumaril, beedrill, al_marowak 
L: azumaril, al_marowak, beedrill
W: Golbat, al_muk, scrafty
L: azumaril, al_marowak, clefable
W: driftblim, azuamril, umbreon
